0 -1 0 -1
76446b4d-4919-4e80-88b7-8debfd04b2e7 0 3799.2526758607164 5
252adf9f-0428-4cbf-817c-78fd70c9ff71 76446b4d-4919-4e80-88b7-8debfd04b2e7 5404.102214138108 6
e8ab6143-9609-4083-917a-93fa9683638f 252adf9f-0428-4cbf-817c-78fd70c9ff71 20834.845269294237 16
57fa93a7-3091-44ce-a332-87acd923100a 252adf9f-0428-4cbf-817c-78fd70c9ff71 21320.779329396384 0
a428a793-6310-443d-b5e8-ad45fbae02f8 e8ab6143-9609-4083-917a-93fa9683638f 31979.162433860067 12
08747c48-4c80-4ca8-b3cd-6e9e6d2b3021 57fa93a7-3091-44ce-a332-87acd923100a 32470.63867776047 0
0e73c852-ca0c-48ae-bc4d-880d7690df83 a428a793-6310-443d-b5e8-ad45fbae02f8 35059.91296774396 2
5783675d-cd78-42ed-aa47-d5afb3e232cd 0e73c852-ca0c-48ae-bc4d-880d7690df83 55026.41425959094 15
2117915f-740f-42bd-b88f-fd59c7032de9 0e73c852-ca0c-48ae-bc4d-880d7690df83 55997.61362455371 0
6d70b22c-73c9-41d9-984d-e43c10ab59e5 2117915f-740f-42bd-b88f-fd59c7032de9 56011.860329716525 0
dfc132ea-0dd7-426e-9f62-db37854cd7b2 6d70b22c-73c9-41d9-984d-e43c10ab59e5 65786.26820607741 0
5d1e3313-c1df-456e-a4ce-2777f2b555fc 6d70b22c-73c9-41d9-984d-e43c10ab59e5 65792.30378710513 4
8ab5df0b-8e0f-4c49-a6bc-9432326f8689 5d1e3313-c1df-456e-a4ce-2777f2b555fc 77518.07366873242 2
0afbdc56-22ea-447d-b1c4-198176e4c9b3 8ab5df0b-8e0f-4c49-a6bc-9432326f8689 105996.21208465112 11
29de4e17-a566-4282-8c69-dc23fa78bf07 8ab5df0b-8e0f-4c49-a6bc-9432326f8689 107945.53370850932 0
0cb9c5e1-926d-4406-aad3-51fd73123e43 0afbdc56-22ea-447d-b1c4-198176e4c9b3 114265.98438759259 14
25cba1a9-81a4-4135-bc37-31da12103f42 29de4e17-a566-4282-8c69-dc23fa78bf07 115257.2804904618 0
c5052cfb-9997-4377-bd24-bf5834fe3cd9 0cb9c5e1-926d-4406-aad3-51fd73123e43 116484.91777692393 19
aebb475e-fd7e-4dcc-bffa-20f7defefbe5 c5052cfb-9997-4377-bd24-bf5834fe3cd9 133702.68258552605 6
f4617d0d-9d8f-45b7-9b5f-5c89c651f0a0 c5052cfb-9997-4377-bd24-bf5834fe3cd9 134192.36832231868 0
c05be1eb-f16f-46fa-b261-f10d4d6fb8e9 aebb475e-fd7e-4dcc-bffa-20f7defefbe5 143875.7828850602 2
d6bc210a-0956-4b61-ae00-f4e63be3586e c05be1eb-f16f-46fa-b261-f10d4d6fb8e9 182900.4659155563 16
dc951c09-8164-4837-bba8-08326ed019e2 d6bc210a-0956-4b61-ae00-f4e63be3586e 195899.21422849843 1
